last seen position,churned_trial_users,churned_paid_users,active_paid_users
Model Evaluation and Validation::K-Fold CV in sklearn::214,5,2,9
Model Evaluation and Validation::Train/Test Split in sklearn::214,4,14,8
Model Evaluation and Validation::Welcome to Evaluation Metrics Lesson::215,4,1,3
Model Evaluation and Validation::Practical Advice for K-Fold in sklearn::215,1,1,
Model Evaluation and Validation::Metrics::216,,,
Model Evaluation and Validation::F1 Score::216,,,2
Model Evaluation and Validation::Cross Validation for Parameter Tuning::216,1,,
Model Evaluation and Validation::Classification and Regression::217,,3,1
Model Evaluation and Validation::Compute F1 Scores::217,,,1
Model Evaluation and Validation::GridSearchCV in sklearn::217,4,9,8
Model Evaluation and Validation::GridSearchCV in sklearn::218,2,3,5
Model Evaluation and Validation::Regression metrics::218,,,
Model Evaluation and Validation::Classification Metrics::218,1,,1
Model Evaluation and Validation::Summary::219,1,,1
Model Evaluation and Validation::Accuracy::219,1,1,2
Model Evaluation and Validation::Mean Absolute Error::219,,1,2
Model Evaluation and Validation::Evaluate the accuracy::220,3,1,3
Model Evaluation and Validation::Compute Mean Absolute Error::220,,,
Model Evaluation and Validation::Curse of Dimensionality::220,9,1,2
Model Evaluation and Validation::Shortcomings of Accuracy::221,9,,7
Model Evaluation and Validation::Curse of Dimensionality Two::221,4,1,4
Model Evaluation and Validation::Mean Squared Error::221,1,,
Model Evaluation and Validation::Learning Curves::222,3,5,2
Model Evaluation and Validation::Picking the Most Suitable Metric::222,,,
Model Evaluation and Validation::Compute Mean Squared Error::222,1,,
Model Evaluation and Validation::Regression Scoring Functions::223,3,1,5
Model Evaluation and Validation::Learning Curves - II::223,,1,1
Model Evaluation and Validation::Confusion Matrices::223,1,1,1
Model Evaluation and Validation::Causes of Error::224,4,2,7
Model Evaluation and Validation::Ideal Learning Curve::224,2,1,1
Model Evaluation and Validation::Confusion Matrix Practice 1::224,1,,
Model Evaluation and Validation::Error due to Bias::225,3,,3
Model Evaluation and Validation::Confusion Matrix Practice 2::225,1,,1
Model Evaluation and Validation::Model Complexity::225,,1,
Model Evaluation and Validation::Filling in a Confusion Matrix::226,1,,1
"Model Evaluation and Validation::Linear Learner, Quadratic Data::226",3,7,5
Model Evaluation and Validation::Learning Curves and Model Complexity::226,2,1,1
Model Evaluation and Validation::Practical use of Model Complexity::227,1,1,1
Model Evaluation and Validation::Error due to Variance::227,2,2,2
Model Evaluation and Validation::Confusion Matrix: False Alarms::227,,,1
"Model Evaluation and Validation::Noisy Data, Complex Model::228",1,1,3
Model Evaluation and Validation::Overview::228,12,7,4
Model Evaluation and Validation::Decision Tree Confusion Matrix::228,3,,
Model Evaluation and Validation::Software Requirements::229,4,5,4
Model Evaluation and Validation::Build a confusion matrix::229,1,1,1
Model Evaluation and Validation::Improving the Validity of a Model::229,1,1,1
Model Evaluation and Validation::Starting the Project::230,8,17,18
"Model Evaluation and Validation::Bias, Variance, and Number of Features::230",1,1,1
Model Evaluation and Validation::Precision and Recall::231,2,1,1
"Model Evaluation and Validation::Bias, Variance & Number of Features Pt 2::231",,,
Model Evaluation and Validation::Submitting the Project::231,20,13,49
Kaggle::Introduction::232,6,2,1
Model Evaluation and Validation::Powell Precision and Recall::232,,1,
Model Evaluation and Validation::Overfitting by Eye::232,1,,2
Model Evaluation and Validation::Bush Precision and Recall::233,1,,1
Kaggle::Machine Learning Challenges::233,4,,2
Model Evaluation and Validation::Curse of Dimensionality::233,9,1,2
Model Evaluation and Validation::True Positives in Eigenfaces::234,,1,
Kaggle::Relevance to Industry::234,1,1,1
Model Evaluation and Validation::Curse of Dimensionality Two::234,4,1,4
Model Evaluation and Validation::False Positives in Eigenfaces::235,2,,
Model Evaluation and Validation::Learning Curves::235,3,5,2
Kaggle::Being a Kaggler::235,1,,
Model Evaluation and Validation::Learning Curves - II::236,,1,1
Model Evaluation and Validation::False Negatives in Eigenfaces::236,,,
Kaggle::Power of Community::236,,,
Kaggle::Getting Started::237,1,,1
Model Evaluation and Validation::Ideal Learning Curve::237,2,1,1
"Model Evaluation and Validation::Practicing TP, FP, FN with Rumsfeld::237",,,
Model Evaluation and Validation::Model Complexity::238,,1,
Model Evaluation and Validation::Equation for Precision::238,,,
Kaggle::Skills and Languages::238,,1,1
Kaggle::Tips::239,3,1,
Model Evaluation and Validation::Equation for Recall::239,,1,2
Model Evaluation and Validation::Learning Curves and Model Complexity::239,2,1,1
Model Evaluation and Validation::Precision Vs Recall::240,1,,3
Kaggle::Tricks::240,,1,
Model Evaluation and Validation::Practical use of Model Complexity::240,1,1,1
Kaggle::Building a Career::241,1,,1
Model Evaluation and Validation::K-Fold Cross Validation::241,10,3,7
Model Evaluation and Validation::K-Fold CV in sklearn::242,5,2,9
Kaggle::Lessons Learned::242,9,2,6
Model Evaluation and Validation::F1 Score::242,,,2
Model Evaluation and Validation::Compute F1 Scores::243,,,1
Supervised Learning::Supervised Learning::243,17,6,5
Model Evaluation and Validation::Practical Advice for K-Fold in sklearn::243,1,1,
Supervised Learning::What You'll Watch and Learn::244,4,,
Model Evaluation and Validation::Regression metrics::244,,,
Model Evaluation and Validation::Cross Validation for Parameter Tuning::244,1,,
Supervised Learning::ML in The Google Self-Driving Car::245,1,1,
Model Evaluation and Validation::Mean Absolute Error::245,,1,2
Model Evaluation and Validation::GridSearchCV in sklearn::245,4,9,8
Model Evaluation and Validation::Compute Mean Absolute Error::246,,,
Model Evaluation and Validation::GridSearchCV in sklearn::246,2,3,5
Supervised Learning::Supervised Learning What You'll Do::246,3,,
Supervised Learning::Acerous Vs. Non-Acerous::247,2,1,
Model Evaluation and Validation::Summary::247,1,,1
Model Evaluation and Validation::Mean Squared Error::247,1,,
Model Evaluation and Validation::Overview::248,12,7,4
Supervised Learning::Supervised Classification Example::248,1,1,1
Model Evaluation and Validation::Compute Mean Squared Error::248,1,,
Model Evaluation and Validation::Regression Scoring Functions::249,3,1,5
Model Evaluation and Validation::Software Requirements::249,4,5,4
Supervised Learning::Features and Labels Musical Example::249,2,1,
Supervised Learning::Features Visualization Quiz::250,1,2,
Model Evaluation and Validation::Starting the Project::250,8,17,18
Model Evaluation and Validation::Causes of Error::250,4,2,7
Supervised Learning::Classification By Eye::251,3,2,1
Model Evaluation and Validation::Submitting the Project::251,20,13,49
Model Evaluation and Validation::Error due to Bias::251,3,,3
"Model Evaluation and Validation::Linear Learner, Quadratic Data::252",3,7,5
MEV::Regression and Classification::252,,,
Kaggle::Introduction::252,6,2,1
Supervised Learning::What is Regression?::252,5,4,7
Kaggle::Machine Learning Challenges::253,4,,2
MEV::Why Testing?::253,,,
Model Evaluation and Validation::Error due to Variance::253,2,2,2
Supervised Learning::Regression and Function Approximation::253,,3,2
Supervised Learning::Linear Regression::254,1,1,3
"Model Evaluation and Validation::Noisy Data, Complex Model::254",1,1,3
Kaggle::Relevance to Industry::254,1,1,1
MEV::Testing in Sklearn::254,,,
Model Evaluation and Validation::Improving the Validity of a Model::255,1,1,1
Supervised Learning::Find the Best Fit::255,4,,4
Kaggle::Being a Kaggler::255,1,,
MEV::Confusion Matrix::255,,,
Kaggle::Power of Community::256,,,
Supervised Learning::Order of Polynomial::256,4,1,1
MEV::Accuracy::256,,,
"Model Evaluation and Validation::Bias, Variance, and Number of Features::256",1,1,1
Kaggle::Getting Started::257,1,,1
"Model Evaluation and Validation::Bias, Variance & Number of Features Pt 2::257",,,
MEV::Precision::257,,,
Supervised Learning::Pick the Degree::257,1,,
Model Evaluation and Validation::Overfitting by Eye::258,1,,2
Kaggle::Skills and Languages::258,,1,1
MEV::Recall::258,,,
Supervised Learning::Polynomial Regression::258,,3,3
MEV::F1 Score::259,,,
Model Evaluation and Validation::Curse of Dimensionality::259,9,1,2
Kaggle::Tips::259,3,1,
Supervised Learning::Errors::259,1,,4
Kaggle::Tricks::260,,1,
Supervised Learning::Cross Validation::260,1,2,2
MEV::ROC Curve::260,,,
Model Evaluation and Validation::Curse of Dimensionality Two::260,4,1,4
Supervised Learning::Housing Example Revisited::261,,1,2
Kaggle::Building a Career::261,1,,1
MEV::Mean Absolute Error::261,,,
Model Evaluation and Validation::Learning Curves::261,3,5,2
Kaggle::Lessons Learned::262,9,2,6
Model Evaluation and Validation::Learning Curves - II::262,,1,1
MEV::Mean Square Error::262,,,
Supervised Learning::Other Input Spaces::262,,1,3
Supervised Learning::Supervised Learning::263,17,6,5
Model Evaluation and Validation::Ideal Learning Curve::263,2,1,1
Supervised Learning::Conclusion::263,2,,2
MEV::R2 Score::263,,,
MEV::Error Due to Bias (Underfitting)::264,,,
Supervised Learning::What You'll Watch and Learn::264,4,,
Supervised Learning::Continuous Output Quiz::264,3,5,4
Model Evaluation and Validation::Model Complexity::264,,1,
Supervised Learning::ML in The Google Self-Driving Car::265,1,1,
MEV::Error Due to Variance (Overfitting)::265,,,
Model Evaluation and Validation::Learning Curves and Model Complexity::265,2,1,1
Supervised Learning::Continuous Quiz::265,1,,1
Model Evaluation and Validation::Practical use of Model Complexity::266,1,1,1
Supervised Learning::Age: Continuous or Discrete?::266,,,
Supervised Learning::Supervised Learning What You'll Do::266,3,,
MEV::Tradeoff::266,,,
Model Evaluation and Validation::K-Fold Cross Validation::267,10,3,7
Supervised Learning::Weather: Continuous or Discrete::267,,,
MEV::Learning Curves::267,,,
Supervised Learning::Acerous Vs. Non-Acerous::267,2,1,
Supervised Learning::Supervised Classification Example::268,1,1,1
MEV::Model Complexity Graph::268,,,
Model Evaluation and Validation::K-Fold CV in sklearn::268,5,2,9
Supervised Learning::Email Author: Continuous or Discrete::268,,,
MEV::K-fold Cross Validation::269,,,
Supervised Learning::Features and Labels Musical Example::269,2,1,
Model Evaluation and Validation::Practical Advice for K-Fold in sklearn::269,1,1,
Supervised Learning::Phone Number: Continuous or Discrete?::269,1,,
Model Evaluation and Validation::Cross Validation for Parameter Tuning::270,1,,
Supervised Learning::Income: Continuous or Discrete?::270,,,
Supervised Learning::Features Visualization Quiz::270,1,2,
MEV::Randomizing in K-Fold Cross Validation::270,,,
Supervised Learning::Classification By Eye::271,3,2,1
Model Evaluation and Validation::GridSearchCV in sklearn::271,4,9,8
MEV::Parameters and Hyperparameters::271,,,
Supervised Learning::Continuous Feature Quiz::271,,2,
Model Evaluation and Validation::GridSearchCV in sklearn::272,2,3,5
Supervised Learning::What is Regression?::272,5,4,7
MEV::Grid Search Cross Validation::272,,,
Supervised Learning::Supervised Learning w/ Continuous Output::272,3,,1
Supervised Learning::Regression and Function Approximation::273,,3,2
Supervised Learning::Equation of the Regression Line::273,1,,
Model Evaluation and Validation::Summary::273,1,,1
Kaggle::Introduction::273,6,2,1
Model Evaluation and Validation::Overview::274,12,7,4
Kaggle::Machine Learning Challenges::274,4,,2
Supervised Learning::Linear Regression::274,1,1,3
Supervised Learning::Slope and Intercept::274,,,
Model Evaluation and Validation::Software Requirements::275,4,5,4
Supervised Learning::Find the Best Fit::275,4,,4
Kaggle::Relevance to Industry::275,1,1,1
Supervised Learning::Slope Quiz::275,,,
Model Evaluation and Validation::Starting the Project::276,8,17,18
Supervised Learning::Order of Polynomial::276,4,1,1
Kaggle::Being a Kaggler::276,1,,
Supervised Learning::Intercept Quiz::276,,,
Supervised Learning::Predictions Using Regression::277,,,1
Supervised Learning::Pick the Degree::277,1,,
Kaggle::Power of Community::277,,,
Model Evaluation and Validation::Submitting the Project::277,20,13,49
Kaggle::Getting Started::278,1,,1
Supervised Learning::Polynomial Regression::278,,3,3
Supervised Learning::Adding An Intercept::278,,,
Kaggle::Introduction::278,6,2,1
Supervised Learning::Errors::279,1,,4
Kaggle::Machine Learning Challenges::279,4,,2
Supervised Learning::Handoff to Katie::279,,,1
Kaggle::Skills and Languages::279,,1,1
Supervised Learning::Coding It Up::280,,,4
Kaggle::Relevance to Industry::280,1,1,1
Kaggle::Tips::280,3,1,
Supervised Learning::Cross Validation::280,1,2,2
Kaggle::Being a Kaggler::281,1,,
Supervised Learning::Age/Net Worth Regression in sklearn::281,1,2,4
Supervised Learning::Housing Example Revisited::281,,1,2
Kaggle::Tricks::281,,1,
Kaggle::Power of Community::282,,,
Kaggle::Building a Career::282,1,,1
Supervised Learning::Other Input Spaces::282,,1,3
Supervised Learning::Extracting Information from sklearn::282,,,1
Kaggle::Lessons Learned::283,9,2,6
Kaggle::Getting Started::283,1,,1
Supervised Learning::Extracting Score Data from sklearn::283,,,
Supervised Learning::Conclusion::283,2,,2
Kaggle::Skills and Languages::284,,1,1
Supervised Learning::Continuous Output Quiz::284,3,5,4
Supervised Learning::Supervised Learning::284,17,6,5
Supervised Learning::Now You Practice Extracting Information::284,,,4
Supervised Learning::Continuous Quiz::285,1,,1
Kaggle::Tips::285,3,1,
Supervised Learning::What You'll Watch and Learn::285,4,,
Supervised Learning::Linear Regression Errors::285,,,
Supervised Learning::Error Quiz::286,,,
Kaggle::Tricks::286,,1,
Supervised Learning::Age: Continuous or Discrete?::286,,,
Supervised Learning::ML in The Google Self-Driving Car::286,1,1,
Kaggle::Building a Career::287,1,,1
Supervised Learning::Weather: Continuous or Discrete::287,,,
